Name,
YBCO,
voltage,thermocouple
0.014,5.808
0.029,5.664
0.061,5.641
0.167,5.517
0.231,5.469
0.31,5.409
0.415,5.382
0.512,5.316
0.593,5.287
0.703,5.241
0.837,5.216
0.92,5.199
1.119,5.04
1.229,4.893
1.345,4.705
1.458,4.633
1.642,4.509
1.841,4.3
,
BSCCO,
voltage,thermocouple
0,6.18
0.006,6.172
0.02,6.16
0.012,6.152
0.015,6.133
0.018,6.129
0.023,6.125
0.042,6.122
0.065,6.118
0.17,6.113
0.259,6.108
0.357,6.105
0.393,6.102
0.459,6.097
0.494,6.092
0.601,6.091
0.689,6.076
0.701,6.034
0.787,5.923
0.805,5.802
0.908,5.66
0.992,5.568
