,Time,Voltage,Current,PhotoCurrent
0,0.0,3.99934,0.107498,5e-06
1,1.0,4.999364,0.122028,4.9e-05
2,2.0,5.999322,0.135591,0.000103
3,3.0,6.999341,0.148188,0.000225
4,4.0,7.999185,0.160002,0.00048
5,5.0,8.998329,0.17115,0.000764
6,6.0,9.9988,0.181738,0.001163
7,7.0,10.99903,0.191849,0.001648
8,8.0,11.99877,0.201521,0.002353
9,9.0,12.9984,0.210822,0.003131
10,10.0,13.99775,0.219794,0.004069
11,11.0,14.99771,0.228475,0.005271
12,12.0,15.99677,0.236641,0.006493
13,13.0,16.99661,0.244822,0.008048
14,14.0,17.99615,0.252792,0.009676
15,15.0,18.99589,0.260583,0.01148
16,16.0,19.9958,0.268204,0.013586
