"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)"
650,0.0162367818723,650,0.0165881208515,650,0.0166245136187,650,0.0162311741817,650,0.0164130617227
650.6,0.0162764553292,650.6,0.0163775463493,650.6,0.0166474021515,650.6,0.015839017319,650.6,0.0159262989242
651.3,0.0159903486687,651.3,0.0176188677806,651.3,0.0160439078355,651.3,0.0165226215,651.3,0.0159835202564
651.9,0.0173201724269,651.9,0.0172206073091,651.9,0.0170792324712,651.9,0.0179165331502,651.9,0.0170165560388
652.6,0.0191916914626,652.6,0.0190692378119,652.6,0.0186532005798,652.6,0.0189915312428,652.6,0.0186301976043
653.3,0.0227355992981,653.3,0.0224193560693,653.3,0.0228654535744,653.3,0.0229916838331,653.3,0.0227753109026
653.9,0.0471988632029,653.9,0.0462554741741,653.9,0.0472005416953,653.9,0.0470643167773,653.9,0.0478916609445
654.6,0.233256694896,654.6,0.228604600595,654.6,0.228372434577,654.6,0.227081864652,654.6,0.231750667582
655.2,0.783797627222,655.2,0.778020943008,655.2,0.768868352789,655.2,0.763123674372,655.2,0.776613717861
655.9,0.960995307851,655.9,0.948829671168,655.9,0.952314602884,655.9,0.947309224079,655.9,0.956477149615
656.6,0.159042915999,656.6,0.156237163348,656.6,0.159047646296,656.6,0.15601373312,656.6,0.158720225834
657.2,0.0170508506905,657.2,0.0168940642405,657.2,0.0164917601282,657.2,0.017263447013,657.2,0.0165847257191
657.9,0.0155356298161,657.9,0.0162966735332,657.9,0.016079766537,657.9,0.0159023422599,657.9,0.0162024872206
658.5,0.0155791180285,658.5,0.0158144884413,658.5,0.0159401464866,658.5,0.0155925841154,658.5,0.0155165941863
659.2,0.0166762417029,659.2,0.0161791790646,659.2,0.0156364919509,659.2,0.0162784771496,659.2,0.0158156710155
659.8,0.0158255512322,659.8,0.0162447928588,659.8,0.0162445639734,659.8,0.0163074692912,659.8,0.0158217746242
660.5,0.015671435111,660.5,0.015498626688,660.5,0.0160431448844,660.5,0.0154834821088,660.5,0.0150824750134
661.2,0.0152541008621,661.2,0.0158228809033,661.2,0.0153603036545,661.2,0.0158092622263,661.2,0.0154883649958
661.8,0.0155547035935,661.8,0.015732089723,661.8,0.015838673991,661.8,0.0156017395285,661.8,0.0158828107118
