"Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
650,0.0161238651102,650,0.0157498664836,650,0.0161717021439,650,0.0160685511559,650,0.015390249485
650.6,0.0153235294118,650.6,0.0162526512551,650.6,0.0171566720073,650.6,0.0162829404135,650.6,0.0161585412375
651.3,0.0162634851606,651.3,0.0168683527886,651.3,0.0166287098497,651.3,0.0161807049668,651.3,0.0156656748302
651.9,0.016974555581,651.9,0.0174130998703,651.9,0.0169827191577,651.9,0.0165354772259,651.9,0.0163614862287
652.6,0.0179229037919,652.6,0.0181127260243,652.6,0.0178776607919,652.6,0.017614290074,652.6,0.0177515831235
653.3,0.020603150988,653.3,0.0207853437095,653.3,0.0198437857633,653.3,0.0196696803235,653.3,0.0198245212482
653.9,0.0293030823224,653.9,0.0296584649424,653.9,0.0293471046006,653.9,0.0290074387732,653.9,0.0279949645228
654.6,0.115334973678,654.6,0.117002632181,654.6,0.114541275654,654.6,0.104454146639,654.6,0.0994522011139
655.2,0.498041161212,655.2,0.510589265278,655.2,0.500778400855,655.2,0.451042992294,655.2,0.449635309377
655.9,0.917394941634,655.9,0.93266754406,655.9,0.920764667735,655.9,0.833456206607,655.9,0.874448004883
656.6,0.235621080339,656.6,0.243877584497,656.6,0.242562943465,656.6,0.220289959564,656.6,0.238316166934
657.2,0.0175521095598,657.2,0.0177014953841,657.2,0.0171475165942,657.2,0.0170420767529,657.2,0.0174868390936
657.9,0.0155791180285,657.9,0.0160825131609,657.9,0.0157291905089,657.9,0.0162272449836,657.9,0.0162111848631
658.5,0.0156912718395,658.5,0.0157941176471,658.5,0.015665865568,658.5,0.0160304036011,658.5,0.0151239795529
659.2,0.0157584115358,659.2,0.0162915617609,659.2,0.0158878843366,659.2,0.0158274586099,659.2,0.0159861142901
659.8,0.0155844586862,659.8,0.0167394140536,659.8,0.0160709925994,659.8,0.0159975967041,659.8,0.0157099259937
660.5,0.0151221103227,660.5,0.0160382619974,660.5,0.0161129549096,660.5,0.0156908903639,660.5,0.0152567330434
661.2,0.0156363393606,661.2,0.0162648584726,661.2,0.0157810711833,661.2,0.0162943846799,661.2,0.0154093232624
661.8,0.0155600442512,661.8,0.0165364690623,661.8,0.0158779659724,661.8,0.0158869687953,661.8,0.0151606012055
