Time	Voltage	Current
0.000000	0.199951	0.035596
1.000000	0.399698	0.049294
2.000000	0.599825	0.049469
3.000000	0.799588	0.048833
4.000000	0.999398	0.051395
5.000000	1.499540	0.063262
6.000000	1.999381	0.073028
7.000000	2.498984	0.082394
8.000000	2.999061	0.091290
9.000000	3.498821	0.099657
10.000000	3.999135	0.107588
11.000000	4.499004	0.115126
12.000000	4.999174	0.122324
13.000000	5.499359	0.129226
14.000000	5.999053	0.135863
15.000000	6.499443	0.142247
16.000000	6.999135	0.148430
17.000000	7.498559	0.154401
18.000000	7.998931	0.160229
19.000000	8.498242	0.165863
20.000000	8.998013	0.171350
21.000000	9.498621	0.176720
22.000000	9.998405	0.181942
23.000000	10.998590	0.192057
24.000000	11.998380	0.201744
25.000000	12.997970	0.211042
26.000000	13.997200	0.220010
27.000000	14.997250	0.228691
28.000000	15.996300	0.236868
29.000000	16.996140	0.245053
30.000000	17.995630	0.253019
31.000000	18.995340	0.260814
32.000000	19.995100	0.268443
33.000000	20.995350	0.275924
34.000000	21.995680	0.283272
35.000000	22.995350	0.290504
36.000000	23.995180	0.297614
37.000000	24.995390	0.304656
38.000000	25.995850	0.311589
39.000000	26.996790	0.318453
40.000000	27.997190	0.325219
41.000000	28.998030	0.331913
42.000000	29.998350	0.338528
43.000000	0.000773	-0.000183
