Time	Voltage	Current	PhotoCurrent
0.000000	3.999483	0.107399	0.000886
1.000000	4.999443	0.121979	0.001709
2.000000	5.999354	0.135549	0.002818
3.000000	6.999373	0.148162	0.004316
4.000000	7.999200	0.159983	0.006006
5.000000	8.998361	0.171142	0.008062
6.000000	9.998784	0.181742	0.010271
7.000000	10.998920	0.191845	0.012834
8.000000	11.998690	0.201536	0.015637
9.000000	12.998370	0.210822	0.018553
10.000000	13.997710	0.219802	0.021770
11.000000	14.997610	0.228483	0.025139
12.000000	15.996680	0.236637	0.028589
13.000000	16.996520	0.244830	0.032264
14.000000	17.996010	0.252799	0.036262
15.000000	18.995760	0.260594	0.040228
16.000000	19.995610	0.268219	0.044370
17.000000	4.000432	0.105711	0.000840
