Time	Voltage	Current	PhotoCurrent
0.000000	3.999340	0.107498	0.000005
1.000000	4.999364	0.122028	0.000049
2.000000	5.999322	0.135591	0.000103
3.000000	6.999341	0.148188	0.000225
4.000000	7.999185	0.160002	0.000480
5.000000	8.998329	0.171150	0.000764
6.000000	9.998800	0.181738	0.001163
7.000000	10.999030	0.191849	0.001648
8.000000	11.998770	0.201521	0.002353
9.000000	12.998400	0.210822	0.003131
10.000000	13.997750	0.219794	0.004069
11.000000	14.997710	0.228475	0.005271
12.000000	15.996770	0.236641	0.006493
13.000000	16.996610	0.244822	0.008048
14.000000	17.996150	0.252792	0.009676
15.000000	18.995890	0.260583	0.011480
16.000000	19.995800	0.268204	0.013586
17.000000	4.000432	0.105696	-0.000042
