,Time,Voltage,Current,PhotoCurrent
0,0.0,3.999324,0.107475,0.000872
1,1.0,4.999332,0.12201,0.001738
2,2.0,5.99929,0.135572,0.002857
3,3.0,6.999341,0.148177,0.004311
4,4.0,7.999169,0.159991,0.006028
5,5.0,8.998282,0.171131,0.008094
6,6.0,9.998721,0.18173,0.010351
7,7.0,10.999,0.191864,0.012858
8,8.0,11.99874,0.201555,0.015615
9,9.0,12.99841,0.210849,0.018604
10,10.0,13.99775,0.219809,0.021704
11,11.0,14.99769,0.228498,0.025041
12,12.0,15.99677,0.23666,0.02863
13,13.0,16.9966,0.244841,0.032293
14,14.0,17.99612,0.252803,0.036203
15,15.0,18.99589,0.260598,0.04024
16,16.0,19.99575,0.268223,0.044339
