,Time,Voltage,Current,PhotoCurrent
0,0.0,3.999372,0.107501,0.000881
1,1.0,4.999395,0.122036,0.001893
2,2.0,5.999259,0.135587,0.003447
3,3.0,6.999357,0.148184,0.005675
4,4.0,7.999153,0.159983,0.008503
5,5.0,8.998298,0.171138,0.012075
6,6.0,9.998721,0.181734,0.016301
7,7.0,10.99889,0.191834,0.021266
8,8.0,11.99874,0.20151,0.026882
9,9.0,12.99835,0.210807,0.033221
10,10.0,13.99768,0.219779,0.040218
11,11.0,14.99766,0.228467,0.047923
12,12.0,15.99669,0.23663,0.056286
13,13.0,16.99647,0.244807,0.065306
14,14.0,17.99602,0.252784,0.074883
15,15.0,18.99586,0.260576,0.085151
16,16.0,19.99559,0.268197,0.096019
