"Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
650,0.0157711146715,650,0.0162954528115,650,0.0162565041581,650,0.0161251621271,650,0.0165900663767
650.6,0.0158863202869,650.6,0.0166692988479,650.6,0.0165471885252,650.6,0.0159489204242,650.6,0.0163642328527
651.3,0.0164539559014,651.3,0.016613603418,651.3,0.0166410315099,651.3,0.0159199282826,651.3,0.0158713664454
651.9,0.0171467154955,651.9,0.0168531700618,651.9,0.0171506828412,651.9,0.0168217364767,651.9,0.0170760662242
652.6,0.0183292896925,652.6,0.0180944914931,652.6,0.0180227359426,652.6,0.0187329289693,652.6,0.0185439841306
653.3,0.0218655680171,653.3,0.0217307164111,653.3,0.0213636987869,653.3,0.0215177004654,653.3,0.0212120241093
653.9,0.0367583733883,653.9,0.0370255970092,653.9,0.0376107423514,653.9,0.0384590295262,653.9,0.0386240939956
654.6,0.168090486,654.6,0.165328030823,654.6,0.16769314107,654.6,0.173471618219,654.6,0.177291218433
655.2,0.607058213169,655.2,0.602776722362,655.2,0.595613336385,655.2,0.620592240787,655.2,0.631759060044
655.9,0.924681620508,655.9,0.91587659266,655.9,0.914298771649,655.9,0.936526474403,655.9,0.950542915999
656.6,0.169002975509,656.6,0.166466353857,656.6,0.166400701915,656.6,0.174659533074,656.6,0.177689478904
657.2,0.016474555581,657.2,0.0167616159304,657.2,0.0173368429084,657.2,0.0163395513848,657.2,0.0170867475395
657.9,0.0161228351263,657.9,0.0163328374151,657.9,0.0167905699245,657.9,0.0160076676585,657.9,0.0160460822461
658.5,0.0154766155489,658.5,0.0162725642786,658.5,0.0156858167391,658.5,0.0153530556191,658.5,0.0161902800031
659.2,0.0159023422599,659.2,0.0156499961852,659.2,0.0168241397726,659.2,0.0160069047074,659.2,0.0161780727855
659.8,0.0158062104219,659.8,0.0162382314794,659.8,0.0162870222019,659.8,0.015609407187,659.8,0.0159713130388
660.5,0.0154857709621,660.5,0.0161527809567,660.5,0.0151242847333,660.5,0.0153110933089,660.5,0.0156798657206
661.2,0.0155765621424,661.2,0.0160085831998,661.2,0.0159574273289,661.2,0.0153820477607,661.2,0.0158896772717
661.8,0.0158741130694,661.8,0.0160375753414,661.8,0.0157216754406,661.8,0.0157734416724,661.8,0.016084992752
