"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
350.1,0.0350713359274,350.1,0.0156688792248,350.1,0.0133989471275,350.1,0.0135988403143,350.1,0.020997940032
350.8,0.0331334401465,350.8,0.0158481727321,350.8,0.0158709086748,350.8,0.0146364538033,350.8,0.0113694972152
351.4,0.049597924773,351.4,0.0150623331044,351.4,0.0157335774777,351.4,0.0215030136568,351.4,0.0285511558709
352.1,0.0408697642481,352.1,0.0153362325475,352.1,0.0141771572442,352.1,0.0215335317006,352.1,0.0219897764553
352.7,0.0518410009918,352.7,0.0160221255818,352.7,0.0216388189517,352.7,0.0227542534524,352.7,0.0358907454032
353.3,0.0652079041733,353.3,0.0151477836271,353.3,0.021593041886,353.3,0.0319859616999,353.3,0.0391866941329
354,0.0371770809491,354,0.0153034256504,354,0.0149095902953,354,0.00938735027085,354,0.00810406652934
354.6,0.0408087281605,354.6,0.0151508354314,354.6,0.0169695582513,354.6,0.0194277866789,354.6,0.0231494621195
355.3,0.0413580529488,355.3,0.01501045243,355.3,0.015092698558,355.3,0.0197329671168,355.3,0.0271015487907
355.9,0.0555336842908,355.9,0.0159794003204,355.9,0.018495460441,355.9,0.030185397116,355.9,0.0374776836805
356.6,0.0508186465248,356.6,0.0151515983825,356.6,0.0171221484703,356.6,0.0250583657588,356.6,0.0283680476081
357.2,0.0543434805829,357.2,0.0155063706416,357.2,0.015977721828,357.2,0.0209842069123,357.2,0.0271015487907
357.9,0.0654367895018,357.9,0.0158863202869,357.9,0.0156420233463,357.9,0.0245242999924,357.9,0.029130998703
358.5,0.0571053635462,358.5,0.0155750362402,358.5,0.0165575646601,358.5,0.022357518883,358.5,0.0330373083085
359.2,0.0461646448463,359.2,0.0158908979934,359.2,0.0165270466163,359.2,0.0231815060655,359.2,0.0323201342794
359.8,0.0289829861906,359.8,0.0155712214847,359.8,0.0166796368353,359.8,0.0188326848249,359.8,0.019670405127
360.5,0.0331944762341,360.5,0.0156925307088,360.5,0.016572823682,360.5,0.0155519951171,360.5,0.0186785687037
361.1,0.0275791561761,361.1,0.015485008011,361.1,0.0185870145724,361.1,0.0123628595407,361.1,0.0138872358282
361.8,0.040289921416,361.8,0.0154651712825,361.8,0.0143297474632,361.8,0.0197482261387,361.8,0.0257740138857
362.4,0.0461188677806,362.4,0.0155284962234,362.4,0.0167559319448,362.4,0.0217166399634,362.4,0.0284901197833
363,0.0396185244526,363,0.0156742198825,363,0.0152758068208,363,0.0247684443427,363,0.0277271686885
363.7,0.0320042725261,363.7,0.015951934081,363.7,0.017305256733,363.7,0.0184969863432,363.7,0.0224475471122
364.3,0.0456000610361,364.3,0.0155376516365,364.3,0.0194262607767,364.3,0.0252109559777,364.3,0.0307942320897
365,0.0416937514305,365,0.0153278400855,365,0.0162523842222,365,0.0268284122988,365,0.0269489585718
365.6,0.0452796215763,365.6,0.0154216830701,365.6,0.015977721828,365.6,0.0220523384451,365.6,0.0349904631113
366.3,0.0452948805982,366.3,0.015806973373,366.3,0.0184191653315,366.3,0.0248905165179,366.3,0.0308247501335
366.9,0.0372991531243,366.9,0.0153598840314,366.9,0.0142229343099,366.9,0.020587472343,366.9,0.0213488975357
367.6,0.0424261844816,367.6,0.0152912184329,367.6,0.0189074540322,367.6,0.023990234226,367.6,0.0278797589075
368.2,0.0353917753872,368.2,0.0152607003891,368.2,0.015092698558,368.2,0.0182833600366,368.2,0.0204180972
368.9,0.0304173342489,368.9,0.0156604867628,368.9,0.0141466392004,368.9,0.00998245212482,368.9,0.0164660105287
369.5,0.0290135042344,369.5,0.01542854963,369.5,0.0162218661784,369.5,0.0138735027085,369.5,0.0126970321202
370.2,0.0460883497368,370.2,0.0155803768978,370.2,0.0178240634775,370.2,0.0230899519341,370.2,0.0320302128634
370.8,0.0400915541314,370.8,0.0148708323796,370.8,0.0153063248646,370.8,0.0157351033799,370.8,0.0162981612879
