Time	Voltage	Current	PhotoCurrent
0.000000	3.999324	0.107475	0.000872
1.000000	4.999332	0.122010	0.001738
2.000000	5.999290	0.135572	0.002857
3.000000	6.999341	0.148177	0.004311
4.000000	7.999169	0.159991	0.006028
5.000000	8.998282	0.171131	0.008094
6.000000	9.998721	0.181730	0.010351
7.000000	10.999000	0.191864	0.012858
8.000000	11.998740	0.201555	0.015615
9.000000	12.998410	0.210849	0.018604
10.000000	13.997750	0.219809	0.021704
11.000000	14.997690	0.228498	0.025041
12.000000	15.996770	0.236660	0.028630
13.000000	16.996600	0.244841	0.032293
14.000000	17.996120	0.252803	0.036203
15.000000	18.995890	0.260598	0.040240
16.000000	19.995750	0.268223	0.044339
17.000000	4.000511	0.105704	0.000913
