Time	Voltage	Current	PhotoCurrent
0.000000	3.999372	0.107501	0.000881
1.000000	4.999395	0.122036	0.001893
2.000000	5.999259	0.135587	0.003447
3.000000	6.999357	0.148184	0.005675
4.000000	7.999153	0.159983	0.008503
5.000000	8.998298	0.171138	0.012075
6.000000	9.998721	0.181734	0.016301
7.000000	10.998890	0.191834	0.021266
8.000000	11.998740	0.201510	0.026882
9.000000	12.998350	0.210807	0.033221
10.000000	13.997680	0.219779	0.040218
11.000000	14.997660	0.228467	0.047923
12.000000	15.996690	0.236630	0.056286
13.000000	16.996470	0.244807	0.065306
14.000000	17.996020	0.252784	0.074883
15.000000	18.995860	0.260576	0.085151
16.000000	19.995590	0.268197	0.096019
17.000000	4.000384	0.105723	0.000869
