"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
350.1,0.365579194324,350.1,0.362971084154,350.1,0.36503307393,350.1,0.364863889525,350.1,0.365392767224,350.1,0.365949340047
350.8,0.42533962768,350.8,0.421049973297,350.8,0.423002861067,350.8,0.424545738918,350.8,0.423785229267,350.8,0.423405661097
351.4,0.413227016098,351.4,0.40804165713,351.4,0.411171015488,351.4,0.410917906462,351.4,0.409803387503,351.4,0.410454566262
352.1,0.385796635386,352.1,0.384108644236,352.1,0.383539978637,352.1,0.386186083772,352.1,0.384020218204,352.1,0.385263447013
352.7,0.371104486152,352.7,0.36919829099,352.7,0.370878805219,352.7,0.372221789883,352.7,0.372019760433,352.7,0.372763256275
353.3,0.377404936294,353.3,0.374923476005,353.3,0.376272869459,353.3,0.375580300603,353.3,0.37750843061,353.3,0.378043640803
354,0.427681887541,354,0.425433890288,354,0.424945334554,354,0.425644388495,354,0.425236362249,354,0.425963836118
354.6,0.446973868925,354.6,0.445583428702,354.6,0.447406614786,354.6,0.446047989624,354.6,0.445951247425,354.6,0.447373769741
355.3,0.443272030213,355.3,0.440015411612,355.3,0.441422026398,355.3,0.441842603189,355.3,0.442669031815,355.3,0.444912489509
355.9,0.415885900664,355.9,0.411452811475,355.9,0.414806477455,355.9,0.414217669947,355.9,0.413347295338,355.9,0.414802624552
356.6,0.386680895705,356.6,0.38533089189,356.6,0.387358548867,356.6,0.387311436637,356.6,0.386514305333,356.6,0.387615625238
357.2,0.327594911116,357.2,0.322918440528,357.2,0.325296292058,357.2,0.324027695125,357.2,0.325296635386,357.2,0.32521232929
357.9,0.32090077821,357.9,0.318482642863,357.9,0.318844014649,357.9,0.318199511711,357.9,0.32174586099,357.9,0.321830167086
358.5,0.284326428626,358.5,0.28268268864,358.5,0.281920233463,358.5,0.282439230945,358.5,0.282453879606,358.5,0.284729381247
359.2,0.310792439155,359.2,0.30879468986,359.2,0.309099603265,359.2,0.31051888304,359.2,0.309888075074,359.2,0.311607385367
359.8,0.419400816358,359.8,0.418304875257,359.8,0.419135461967,359.8,0.419218051423,359.8,0.418468986038,359.8,0.419453574426
360.5,0.427607118334,360.5,0.42138643473,360.5,0.423530060273,360.5,0.422971770809,360.5,0.425470588235,360.5,0.425791409171
361.1,0.360098153658,361.1,0.357232166018,361.1,0.357655336843,361.1,0.358360494392,361.1,0.359572213321,361.1,0.359713740749
361.8,0.365223659113,361.8,0.362163118944,361.8,0.363295071336,361.8,0.362274433509,361.8,0.362907835508,361.8,0.365220721752
362.4,0.382265697719,362.4,0.378695506218,362.4,0.37973666743,362.4,0.379408026246,362.4,0.380126878767,362.4,0.379864042115
363,0.431857518883,363,0.428148470283,363,0.429644350347,363,0.429408789197,363,0.429746166171,363,0.431613488975
363.7,0.399380216678,363.7,0.398015716793,363.7,0.396945792325,363.7,0.396848325322,363.7,0.399228122377,363.7,0.398235904479
364.3,0.431244869154,364.3,0.426686655985,364.3,0.430306591897,364.3,0.429556801709,364.3,0.429372320134,364.3,0.431669947356
365,0.414237163348,365,0.41114305333,365,0.413990119783,365,0.413537117571,365,0.413420538643,365,0.414463111315
365.6,0.478155680171,365.6,0.473517357137,365.6,0.476714618143,365.6,0.478042343786,365.6,0.475810101472,365.6,0.477586633097
366.3,0.520585679408,366.3,0.518488746471,366.3,0.519162928206,366.3,0.518936522469,366.3,0.518633020523,366.3,0.519390249485
366.9,0.498059548333,366.9,0.494146791791,366.9,0.495957770657,366.9,0.496106736858,366.9,0.497032349126,366.9,0.495834897383
367.6,0.490567368582,367.6,0.487274891279,367.6,0.490067025254,367.6,0.48951560235,367.6,0.48957145037,367.6,0.49094743267
368.2,0.460011940185,368.2,0.455042496376,368.2,0.458299267567,368.2,0.457966048676,368.2,0.457479438468,368.2,0.459710688945
368.9,0.465034447242,368.9,0.461099565118,368.9,0.463243190661,368.9,0.462137102312,368.9,0.463029907683,368.9,0.463730678264
369.5,0.509065880827,369.5,0.506350957504,369.5,0.506884756237,369.5,0.505907606622,369.5,0.508948882277,369.5,0.507636224918
370.2,0.514047951476,370.2,0.510032959487,370.2,0.511003929198,370.2,0.51111169604,370.2,0.510478599222,370.2,0.512623636225
370.8,0.457922217136,370.8,0.454359655146,370.8,0.456213359274,370.8,0.457347295338,370.8,0.455246280613,370.8,0.457328755627
